ticker,market_cap,price,pe_ratio,pb_ratio,ev_ebitda,ev_ebit,p_fcf,roe,roa,roic,gross_margin,gross_margin_stability,debt_to_equity,revenue_cagr,eps_cagr,fcf_cagr,revenue_ttm,ebit_ttm,fcf_ttm,equity_ttm,company,sector,sub_industry,missing_pct,z_pe_ratio,z_pb_ratio,z_ev_ebitda,z_p_fcf,value_score,z_roe,z_roic,z_gross_margin,z_gross_margin_stability,z_debt_penalty,quality_score,z_revenue_cagr,z_eps_cagr,z_fcf_cagr,growth_score,composite_score_raw,composite_score,value_pct,quality_pct,growth_pct,rank,trailing_return_1y
NVDA,5053711646720,208.65,31.952524,25.855019,30.263,35.346887315047034,52.27472844056436,0.7633333969089534,0.5805863551302447,0.7097668771556097,0.7106808435754708,-0.0815784672333137,0.0701874845034426,0.4685532350721122,1.8801303903232482,1.4869975372222097,215938000000.0,141709000000.0,96676000000.0,157293000000.0,Nvidia,Information Technology,Semiconductors,0.0,0.1001376459515755,-0.9841481130204154,-0.5481269377972431,-0.140058876168002,-0.3930490702585212,1.7255395638981823,3.3180997872705404,1.1916945911276904,-1.94638649474911,0.20379264177254033,0.8985480178639689,4.12988747172488,5.901198840436843,3.501946214031659,4.511010842064461,1.7005583390117145,100.0,13.518886679920477,95.82504970178927,100.0,1,0.4491772680053898
DELL,270546272256,418.71,33.33678,-147.57788089999997,20.74,33.06271144780687,31.63543875771749,0.1866106622683179,0.0586063226902039,0.3981816623821765,0.1999947154256724,-0.0157186036621123,0.0,0.0353498388848534,0.388859258627138,1.4780522476860227,113538000000.0,8823000000.0,8552000000.0,-2470000000.0,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",0.0,0.06399872864728622,6.989826804131582,-0.04909507850410436,0.1293827653020127,1.7835283048941941,-0.13846252502123824,1.43625627445708,-1.3184564592565848,0.3270442837665084,0.2132218947154403,0.10392069373224114,-0.2738196257244386,0.9758025143438557,3.4776888293918784,1.3932239060037652,1.0965542975880038,99.80119284294234,99.20477137176938,61.23260437375746,96.62027833001989,2,2.6017333370347453
PGR,120736636928,207.38,10.548322,3.780099,8.402,8.77716674546583,7.019571914418605,0.3729182468753091,0.0919058184803192,0.308823021970616,0.5345741225130116,-0.015068379849229551,0.2274511097186954,0.2090378284670047,1.535317917378188,0.3791380935865807,87637000000.0,14501000000.0,17200000000.0,30323000000.0,Progressive Corporation,Financials,Property & Casualty Insurance,0.0,0.6589394037494865,0.030796908827408664,0.5974506612794453,0.45073779594427393,0.43448119245015365,0.463694639990398,0.8965677083786113,0.32608566523770494,0.3494894992433563,0.1826652497401431,0.44370055251804263,1.491796801100608,4.762346185585931,0.49770889534362084,2.2506172940100533,1.0550098558029228,99.60238568588468,90.85487077534792,86.87872763419483,99.40357852882704,3,-0.17095395961061566
IBKR,164228235264,96.82,41.55365,7.7227407,11.742,-3.717815955506118,10.431163317073173,0.1834793958605258,0.0048415666207439,0.9940380067412512,0.8976716885149677,-0.0384198131882945,0.003542793212754,0.3459787421885367,0.3328887406583813,0.5924065256034745,10222000000.0,8990000000.0,15744000000.0,5363000000.0,Interactive Brokers,Financials,Investment Banking & Brokerage,0.0,-0.15051996257030367,-0.15047507613763958,0.4224253110705738,0.4062001785319753,0.13190761272365148,-0.1485829637945157,5.034977725396974,2.110801729474398,-0.4565836445021127,0.2127459424347198,1.3506717578018927,2.8838626966921295,0.7909421105490796,1.0760394643015745,1.5836147571809278,1.0276802097149451,99.40357852882704,45.32803180914513,98.80715705765407,97.4155069582505,4,0.9249085810356994
CRM,122948272128,150.12,17.395132,3.5913017,11.916,17.23217195379612,8.536888774336898,0.1260863684014744,0.0663995369752014,0.1021065066457943,0.7767609873570138,-0.0196327342144206,0.2904196679178925,0.0982000611383049,1.8801303903232482,0.3164236393248525,41525000000.0,8917000000.0,14402000000.0,59142000000.0,Salesforce,Information Technology,Application Software,0.0,0.4801890133678074,0.039477297239838255,0.4133072239638841,0.43092953937882217,0.340975768487588,-0.3340806330336913,-0.35191301185801566,1.5164951548785226,0.19193157040466222,0.17420581474385363,0.2393277790270663,0.36508111293494083,5.901198840436843,0.32764300386559964,2.1979743190791274,0.9388114391667394,99.20477137176938,75.94433399602386,76.1431411530815,99.00596421471172,5,-0.4252663606877317
PODD,9625711616,138.97,32.469624,7.389663,16.876,25.468317553271497,27.50989315804516,0.1630700191381244,0.0774511033099297,0.1802396476778769,0.7163324840293933,-0.0431717438772896,0.6264106117600475,0.2754148023274396,1.8801303903232482,0.0410595657089594,2708100000.0,398900000.0,349900000.0,1515300000.0,Insulet Corporation,Health Care,Health Care Equipment,0.0,0.08663766174486219,-0.13516106578093054,0.15338933862376355,0.18324090651793573,0.07202671027640774,-0.21454728002318807,0.11997826415737137,1.2194738285884867,-0.6206165607570182,0.12906751667796437,0.12667115372872323,2.1665485539009297,5.901198840436843,-0.4190753916269144,2.5495573342369524,0.9324197887622571,99.00596421471172,36.381709741550694,65.20874751491054,99.80119284294234,6,-0.5483147685650411
CLX,10955473920,90.6,14.731707,-147.57788089999997,11.31,12.357182353344768,14.396154954007883,2.048417719204871,0.1456572558892285,0.3036058009228741,0.4522804054054054,-0.0413546426712075,8.97196261682243,-0.0001407261487761,-0.2612183388091882,0.1246316243232625,7104000000.0,1166000000.0,761000000.0,321000000.0,Clorox,Consumer Staples,Household Products,0.0,0.5497233305903275,6.989826804131582,0.44506332043890684,0.3544380359637428,2.08476287278114,5.8790083233529264,0.8650578898182343,-0.07840869842570682,-0.5578916538777504,-0.9921056007315843,1.0231320520272238,-0.6345971600342621,-1.1712851225277434,-0.19244890147872049,-0.666110394680242,0.7991277909954777,98.80715705765407,99.80119284294234,96.81908548707754,14.115308151093439,7,-0.2258089983988918
TTD,8471352832,18.02,20.477274,3.4593973,10.552,12.707866741555112,10.819677213847998,0.178435681018004,0.0720442305004534,0.2057697788243863,0.7862547319254604,-0.0150155958629685,0.1756285544425173,0.2244193656887754,1.015038158641956,0.196709106272805,2896284000.0,589321000.0,782958000.0,2484391000.0,Trade Desk (The),Communication Services,Advertising,0.0,0.3997232072899742,0.04554190423002549,0.48478464243241726,0.4011282102767925,0.33279449105730236,-0.16488454935318583,0.27416950752002645,1.5631593025555002,0.35131156100406563,0.1896272884184566,0.44267662202897257,1.6481570356448283,3.0439571161848455,0.0030071758728189985,1.5650404425674977,0.78801921779142,98.60834990059642,74.35387673956262,86.67992047713717,97.21669980119285,8,-0.7383476152299414
INCY,20709419008,103.66,14.641244,3.6862133,10.803,10.0385350298372,15.575313006390497,0.2489899328066805,0.1849173602714468,0.6240705463744619,0.907236183128362,-0.00567979926123,0.0078204493565333,0.1483959547833886,0.6156160063417289,0.1422764750896166,5141242000.0,1666879000.0,1329631000.0,5167478000.0,Incyte,Health Care,Biotechnology,0.0,0.5520850576668929,0.03511351898217698,0.47163153976702,0.3390443724186933,0.3494686222086958,0.06315097762874879,2.800530029444632,2.1578136314565177,0.6735759293990616,0.21217126587994933,1.1814483667617819,0.8753449175430535,1.7247386590675597,-0.144600485815987,0.8184943635982087,0.7834906899836487,98.40954274353876,77.53479125248509,97.61431411530815,89.06560636182903,9,0.5411834726402955
MCD,191907643392,270.1,22.267107,-147.57788089999997,16.52,19.683679043513106,26.705767240745896,0.3122612318377413,0.1438796941947408,0.1886777033492823,0.5740747628789288,-0.0027566872797268,0.0,0.0506378594670431,0.1278230543570502,0.0940177544032661,26885000000.0,12479000000.0,7186000000.0,-1790000000.0,McDonald's,Consumer Discretionary,Restaurants,0.0,0.352995848495439,6.989826804131582,0.17204473523285294,0.193738603407464,1.9271514978168345,0.26764756928128947,0.1709405678004998,0.5202412697076862,0.7744794598264011,0.2132218947154403,0.38930615226626336,-0.11841002982496826,0.11364758211041331,-0.2754660486551663,-0.09340949878990708,0.7326717949388539,98.2107355864811,99.60238568588468,83.69781312127238,47.31610337972167,10,-0.044440262596987745
