rank,ticker,company,sector,composite_score,value_pct,quality_pct,growth_pct,pe_ratio,pb_ratio,ev_ebitda,p_fcf,roe,roic,gross_margin,debt_to_equity,revenue_cagr,eps_cagr,fcf_cagr,market_cap,price
1,NVDA,Nvidia,Information Technology,100.0,13.518886679920477,95.82504970178927,100.0,31.952524,25.855019,30.263,52.27472844056436,0.7633333969089534,0.7097668771556097,0.7106808435754708,0.0701874845034426,0.4685532350721122,1.8801303903232482,1.4869975372222097,5053711646720,208.65
2,DELL,Dell Technologies,Information Technology,99.80119284294234,99.20477137176938,61.23260437375746,96.62027833001989,33.33678,-147.57788089999997,20.74,31.63543875771749,0.1866106622683179,0.3981816623821765,0.1999947154256724,0.0,0.0353498388848534,0.388859258627138,1.4780522476860227,270546272256,418.71
3,PGR,Progressive Corporation,Financials,99.60238568588468,90.85487077534792,86.87872763419483,99.40357852882704,10.548322,3.780099,8.402,7.019571914418605,0.3729182468753091,0.308823021970616,0.5345741225130116,0.2274511097186954,0.2090378284670047,1.535317917378188,0.3791380935865807,120736636928,207.38
4,IBKR,Interactive Brokers,Financials,99.40357852882704,45.32803180914513,98.80715705765407,97.4155069582505,41.55365,7.7227407,11.742,10.431163317073173,0.1834793958605258,0.9940380067412512,0.8976716885149677,0.003542793212754,0.3459787421885367,0.3328887406583813,0.5924065256034745,164228235264,96.82
5,CRM,Salesforce,Information Technology,99.20477137176938,75.94433399602386,76.1431411530815,99.00596421471172,17.395132,3.5913017,11.916,8.536888774336898,0.1260863684014744,0.1021065066457943,0.7767609873570138,0.2904196679178925,0.0982000611383049,1.8801303903232482,0.3164236393248525,122948272128,150.12
6,PODD,Insulet Corporation,Health Care,99.00596421471172,36.381709741550694,65.20874751491054,99.80119284294234,32.469624,7.389663,16.876,27.50989315804516,0.1630700191381244,0.1802396476778769,0.7163324840293933,0.6264106117600475,0.2754148023274396,1.8801303903232482,0.0410595657089594,9625711616,138.97
7,CLX,Clorox,Consumer Staples,98.80715705765407,99.80119284294234,96.81908548707754,14.115308151093439,14.731707,-147.57788089999997,11.31,14.396154954007883,2.048417719204871,0.3036058009228741,0.4522804054054054,8.97196261682243,-0.0001407261487761,-0.2612183388091882,0.1246316243232625,10955473920,90.6
8,TTD,Trade Desk (The),Communication Services,98.60834990059642,74.35387673956262,86.67992047713717,97.21669980119285,20.477274,3.4593973,10.552,10.819677213847998,0.178435681018004,0.2057697788243863,0.7862547319254604,0.1756285544425173,0.2244193656887754,1.015038158641956,0.196709106272805,8471352832,18.02
9,INCY,Incyte,Health Care,98.40954274353876,77.53479125248509,97.61431411530815,89.06560636182903,14.641244,3.6862133,10.803,15.575313006390497,0.2489899328066805,0.6240705463744619,0.907236183128362,0.0078204493565333,0.1483959547833886,0.6156160063417289,0.1422764750896166,20709419008,103.66
10,MCD,McDonald's,Consumer Discretionary,98.2107355864811,99.60238568588468,83.69781312127238,47.31610337972167,22.267107,-147.57788089999997,16.52,26.705767240745896,0.3122612318377413,0.1886777033492823,0.5740747628789288,0.0,0.0506378594670431,0.1278230543570502,0.0940177544032661,191907643392,270.1
11,DECK,Deckers Brands,Consumer Discretionary,98.01192842942345,76.1431411530815,97.8131212723658,84.49304174950298,15.038462,5.9119673,9.808,13.361191252966286,0.4096877227822588,0.9940380067412512,0.5770385958654284,0.1500993343836187,0.1469097911350663,0.2955462717849462,0.3396718167479886,14661662720,105.57
12,MA,Mastercard,Financials,97.8131212723658,11.133200795228628,100.0,74.35387673956262,28.014465,63.897835,20.512,26.0289725620398,1.9345999741501876,0.9428606765196956,0.7788722515324327,2.455732195941579,0.1382198495222513,0.173598959321368,0.1762342728624237,427734106112,484.09
13,GE,GE Aerospace,Industrials,97.61431411530815,12.524850894632205,71.57057654075547,99.20477137176938,44.05955,20.518866,34.565,51.0792807753304,0.4660277346468919,0.3198644510828977,0.3148620652055392,1.09733897306848,0.1631543559703441,1.8801303903232482,0.11395514846114,371039895552,355.12
14,MTD,Mettler Toledo,Health Care,97.4155069582505,99.40357852882704,91.05367793240556,27.435387673956264,27.332,-147.57788089999997,21.1,27.71827626059332,0.1285666279867031,0.4281841323058058,0.5937429449987446,0.0,0.0089918566130791,0.0306405629212058,0.0477505053674596,23523059712,1164.07
15,APP,AppLovin,Information Technology,97.21669980119285,7.5546719681908545,99.20477137176938,96.81908548707754,40.816525,66.78857,32.59,39.99381682347666,1.5617226261095971,0.9940380067412512,0.8786399662671873,1.6605561231683943,0.2483811324958407,0.055557274064429146,1.1228988372325643,157686661120,469.39
16,APO,Apollo Global Management,Financials,97.01789264413519,23.45924453280318,92.6441351888668,95.82504970178927,84.506256,4.2014174,11.742,10.757788440518906,0.1496079859474744,0.3187592327512167,0.907236183128362,0.5725547320166231,0.4296476468757257,0.1381684374742409,0.2641836638302974,77950935040,135.21
17,UBER,Uber,Industrials,96.81908548707754,50.29821073558648,68.98608349900597,97.01789264413519,17.724566,5.8770776,21.765,14.893254024377752,0.3717687955327096,0.1539730134932533,0.3975431109060499,0.4467290410857586,0.177305807366942,0.05673283587196305,1.4869975372222097,145402839040,71.43
18,AMP,Ameriprise Financial,Financials,96.62027833001989,78.72763419483101,99.00596421471172,65.00994035785288,11.74122,6.835893,11.742,5.192793463546134,0.5440525271033746,0.9940380067412512,0.5345741225130116,0.8950984883188273,0.0903044521864493,0.0941138184068113,0.2453905181040399,42378387456,471.41
19,EIX,Edison International,Utilities,96.42147117296223,72.16699801192843,26.44135188866799,97.61431411530815,7.847826,1.6117871,8.394,55.91059134226098,0.2674213550258831,0.1008901136170934,0.4807164673603561,2.3635587917401444,0.0390477611131692,0.93265351312898,1.172550531927708,27782121472,72.2
20,RMD,ResMed,Health Care,96.22266401590457,68.19085487077535,81.51093439363817,94.43339960238568,18.172613,4.2103267,12.512,16.55770361962172,0.23471114180144,0.2376093602000063,0.5936214313626009,0.1427334325425584,0.1287918773821492,0.2878156389061399,1.0377475102618,27335874560,188.45
