ticker,market_cap,price,pe_ratio,pb_ratio,ev_ebitda,ev_ebit,p_fcf,roe,roa,roic,gross_margin,gross_margin_stability,debt_to_equity,revenue_cagr,eps_cagr,fcf_cagr,revenue_ttm,ebit_ttm,fcf_ttm,equity_ttm,company,sector,sub_industry,missing_pct,z_pe_ratio,z_pb_ratio,z_ev_ebitda,z_p_fcf,value_score,z_roe,z_roic,z_gross_margin,z_gross_margin_stability,z_debt_penalty,quality_score,z_revenue_cagr,z_eps_cagr,z_fcf_cagr,growth_score,composite_score_raw,composite_score,value_pct,quality_pct,growth_pct,rank,trailing_return_1y
NVDA,5053711646720,208.65,31.952524,25.855019,30.263,35.346887315047034,52.27472844056436,0.7633333969089534,0.5805863551302447,0.7097668771556097,0.7106808435754708,-0.0815784672333137,0.07018748450344262,0.4685532350721122,1.8801303903232482,1.4869975372222097,215938000000.0,141709000000.0,96676000000.0,157293000000.0,Nvidia,Information Technology,Semiconductors,0.0,0.1001376459515755,-0.9841481130204154,-0.5481269377972431,-0.140058876168002,-0.3930490702585212,1.7255395638981825,3.31809978727054,1.1916945911276904,-1.9463864947491087,0.20379264177254033,0.8985480178639687,4.129887471724879,5.901198840436842,3.501946214031659,4.51101084206446,1.7005583390117143,100.0,13.518886679920477,95.82504970178927,100.0,1,0.4491772680053898
DELL,270546272256,418.71,33.33678,-147.57788089999997,20.74,33.06271144780687,31.635438757717495,0.1866106622683179,0.05860632269020398,0.3981816623821765,0.19999471542567246,-0.015718603662112373,0.0,0.035349838884853435,0.388859258627138,1.4780522476860227,113538000000.0,8823000000.0,8552000000.0,-2470000000.0,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",0.0,0.06399872864728622,6.989826804131582,-0.04909507850410436,0.12938276530201268,1.7835283048941941,-0.13846252502123826,1.4362562744570797,-1.3184564592565848,0.32704428376650757,0.2132218947154403,0.10392069373224089,-0.27381962572443846,0.9758025143438557,3.4776888293918784,1.3932239060037652,1.0965542975880038,99.80119284294234,99.20477137176938,61.23260437375746,96.62027833001989,2,2.6017333370347453
PGR,120736636928,207.38,10.548322,3.780099,8.402,8.77716674546583,7.019571914418605,0.37291824687530917,0.09190581848031924,0.308823021970616,0.5345741225130116,-0.015068379849229596,0.2274511097186954,0.2090378284670047,1.5353179173781881,0.3791380935865807,87637000000.0,14501000000.0,17200000000.0,30323000000.0,Progressive Corporation,Financials,Property & Casualty Insurance,0.0,0.6589394037494865,0.030796908827408664,0.5974506612794453,0.45073779594427393,0.43448119245015365,0.4636946399903983,0.8965677083786111,0.32608566523770494,0.3494894992433564,0.1826652497401431,0.4437005525180428,1.4917968011006075,4.7623461855859315,0.49770889534362084,2.2506172940100533,1.055009855802923,99.60238568588468,90.85487077534792,86.87872763419483,99.40357852882704,3,-0.17095390903857088
IBKR,164228235264,96.82,41.55365,7.7227407,11.742,-3.717815955506118,10.431163317073171,0.18347939586052583,0.004841566620743948,0.9940380067412512,0.8976716885149677,-0.03841981318829456,0.0035427932127540555,0.34597874218853675,0.33288874065838137,0.5924065256034745,10222000000.0,8990000000.0,15744000000.0,5363000000.0,Interactive Brokers,Financials,Investment Banking & Brokerage,0.0,-0.15051996257030367,-0.15047507613763958,0.4224253110705738,0.4062001785319753,0.13190761272365148,-0.14858296379451563,5.034977725396973,2.110801729474398,-0.4565836445021129,0.2127459424347198,1.3506717578018925,2.883862696692129,0.7909421105490798,1.0760394643015745,1.5836147571809278,1.0276802097149451,99.40357852882704,45.32803180914513,98.80715705765407,97.4155069582505,4,0.924908727023058
CRM,122948272128,150.12,17.395132,3.5913017,11.916,17.23217195379612,8.536888774336898,0.1260863684014744,0.06639953697520146,0.10210650664579438,0.7767609873570138,-0.019632734214420623,0.29041966791789253,0.09820006113830493,1.8801303903232482,0.3164236393248525,41525000000.0,8917000000.0,14402000000.0,59142000000.0,Salesforce,Information Technology,Application Software,0.0,0.4801890133678074,0.039477297239838255,0.4133072239638841,0.43092953937882217,0.340975768487588,-0.33408063303369134,-0.35191301185801543,1.5164951548785226,0.19193157040466316,0.17420581474385363,0.23932777902706653,0.3650811129349408,5.901198840436842,0.32764300386559964,2.1979743190791274,0.9388114391667395,99.20477137176938,75.94433399602386,76.1431411530815,99.00596421471172,5,-0.4252664278375292
PODD,9625711616,138.97,32.469624,7.389663,16.876,25.468317553271497,27.509893158045156,0.16307001913812447,0.07745110330992978,0.18023964767787692,0.7163324840293933,-0.043171743877289684,0.6264106117600475,0.27541480232743965,1.8801303903232482,0.04105956570895941,2708100000.0,398900000.0,349900000.0,1515300000.0,Insulet Corporation,Health Care,Health Care Equipment,0.0,0.08663766174486219,-0.13516106578093054,0.15338933862376355,0.18324090651793576,0.07202671027640774,-0.21454728002318793,0.11997826415737137,1.2194738285884867,-0.6206165607570194,0.12906751667796437,0.126671153728723,2.1665485539009297,5.901198840436842,-0.4190753916269144,2.5495573342369524,0.932419788762257,99.00596421471172,36.381709741550694,65.20874751491054,99.80119284294234,6,-0.5483147685650411
CLX,10955473920,90.6,14.731707,-147.57788089999997,11.31,12.357182353344768,14.396154954007883,2.048417719204871,0.14565725588922857,0.3036058009228741,0.45228040540540543,-0.041354642671207566,8.97196261682243,-0.00014072614877613798,-0.2612183388091882,0.12463162432326258,7104000000.0,1166000000.0,761000000.0,321000000.0,Clorox,Consumer Staples,Household Products,0.0,0.5497233305903275,6.989826804131582,0.44506332043890684,0.3544380359637428,2.08476287278114,5.879008323352927,0.8650578898182342,-0.07840869842570654,-0.5578916538777509,-0.9921056007315843,1.0231320520272242,-0.6345971600342627,-1.1712851225277434,-0.19244890147872026,-0.6661103946802421,0.7991277909954779,98.80715705765407,99.80119284294234,96.81908548707754,14.115308151093439,7,-0.22580894792600437
TTD,8471352832,18.02,20.477274,3.4593973,10.552,12.707866741555112,10.819677213847998,0.178435681018004,0.07204423050045342,0.20576977882438632,0.7862547319254604,-0.015015595862968521,0.1756285544425173,0.2244193656887754,1.0150381586419561,0.19670910627280502,2896284000.0,589321000.0,782958000.0,2484391000.0,Trade Desk (The),Communication Services,Advertising,0.0,0.3997232072899742,0.04554190423002549,0.48478464243241726,0.4011282102767925,0.33279449105730236,-0.16488454935318586,0.27416950752002645,1.5631593025555002,0.3513115610040666,0.1896272884184566,0.44267662202897273,1.6481570356448279,3.0439571161848464,0.0030071758728190735,1.5650404425674977,0.78801921779142,98.60834990059642,74.35387673956262,86.67992047713717,97.21669980119285,8,-0.7383476152299414
INCY,20709419008,103.66,14.641244,3.6862133,10.803,10.038535029837199,15.575313006390495,0.24898993280668055,0.18491736027144687,0.6240705463744619,0.907236183128362,-0.005679799261230083,0.007820449356533303,0.14839595478338863,0.6156160063417289,0.1422764750896166,5141242000.0,1666879000.0,1329631000.0,5167478000.0,Incyte,Health Care,Biotechnology,0.0,0.5520850576668929,0.03511351898217698,0.47163153976702,0.3390443724186933,0.3494686222086958,0.06315097762874898,2.800530029444632,2.1578136314565177,0.6735759293990604,0.21217126587994933,1.1814483667617817,0.8753449175430534,1.7247386590675597,-0.144600485815987,0.8184943635982087,0.7834906899836486,98.40954274353876,77.53479125248509,97.61431411530815,89.06560636182903,9,0.5411834726402955
MCD,191907643392,270.1,22.267107,-147.57788089999997,16.52,19.683679043513102,26.705767240745896,0.3122612318377413,0.1438796941947408,0.1886777033492823,0.5740747628789288,-0.002756687279726895,0.0,0.050637859467043134,0.12782305435705021,0.0940177544032661,26885000000.0,12479000000.0,7186000000.0,-1790000000.0,McDonald's,Consumer Discretionary,Restaurants,0.0,0.352995848495439,6.989826804131582,0.17204473523285294,0.193738603407464,1.9271514978168345,0.2676475692812895,0.17094056780049963,0.5202412697076862,0.7744794598263995,0.2132218947154403,0.38930615226626303,-0.11841002982496818,0.11364758211041336,-0.2754660486551663,-0.09340949878990702,0.7326717949388538,98.2107355864811,99.60238568588468,83.69781312127238,47.31610337972167,10,-0.044440262596987745
